OBS,DATE,Study,long,lat,DEPTH,BACTERIA,VIRUS
1,8/28/2000,ARCTICSBI,-100.5,68.5,1,124000,23500000
2,8/28/2000,ARCTICSBI,-100.5,68.5,1,169000,24200000
3,8/28/2000,ARCTICSBI,-100.5,68.5,1,159000,14800000
4,8/28/2000,ARCTICSBI,-100.5,68.5,1,124000,15500000
5,8/30/2000,ARCTICSBI,-100.5,69.5,1,120000,12900000
6,8/30/2000,ARCTICSBI,-100.5,69.5,1,89100,6320000
7,8/30/2000,ARCTICSBI,-100.5,69.5,1,90000,19300000
8,8/30/2000,ARCTICSBI,-100.5,69.5,1,137000,18100000
9,8/30/2000,ARCTICSBI,-100.5,69.5,1,110000,13200000
10,8/29/2000,ARCTICSBI,-101.5,68.5,1,102000,6320000
11,8/29/2000,ARCTICSBI,-101.5,68.5,1,144000,13800000
12,8/29/2000,ARCTICSBI,-101.5,68.5,1,123000,14400000
13,8/29/2000,ARCTICSBI,-101.5,68.5,1,129000,15300000
14,8/29/2000,ARCTICSBI,-101.5,68.5,1,73200,5050000
15,8/29/2000,ARCTICSBI,-101.5,68.5,1,167000,19700000
16,9/16/2000,ARCTICSBI,-106.5,68.5,1,85700,12400000
17,9/16/2000,ARCTICSBI,-106.5,68.5,1,141000,16100000
18,9/16/2000,ARCTICSBI,-106.5,68.5,1,87200,11700000
19,9/16/2000,ARCTICSBI,-106.5,68.5,1,170000,12800000
20,9/16/2000,ARCTICSBI,-106.5,68.5,1,153000,14400000
21,9/1/2000,ARCTICSBI,-108.5,68.5,1,215000,8420000
22,9/1/2000,ARCTICSBI,-108.5,68.5,1,321000,13800000
23,9/1/2000,ARCTICSBI,-108.5,68.5,1,139000,2.20E+07
24,9/1/2000,ARCTICSBI,-108.5,68.5,1,166000,9160000
25,9/1/2000,ARCTICSBI,-108.5,68.5,1,148000,12500000
26,9/1/2000,ARCTICSBI,-108.5,68.5,1,153000,15400000
27,8/3/2009,STRATIPHYT1,-11.5,49.5,31.07333333,110000,14400000
28,8/3/2009,STRATIPHYT1,-11.5,49.5,44.31076923,111000,8290000
29,8/3/2009,STRATIPHYT1,-11.5,49.5,14.48782609,114000,19300000
30,8/3/2009,STRATIPHYT1,-11.5,49.5,74.825,55100,4860000
31,8/3/2009,STRATIPHYT1,-11.5,49.5,66.71,51000,6590000
32,8/3/2009,STRATIPHYT1,-11.5,49.5,125.78,45400,3320000
33,8/3/2009,STRATIPHYT1,-11.5,49.5,56.02,98500,7920000
34,8/5/2009,STRATIPHYT1,-11.5,51.5,45.27,96600,16500000
35,8/5/2009,STRATIPHYT1,-11.5,51.5,57.18777778,94500,20100000
36,8/5/2009,STRATIPHYT1,-11.5,51.5,60.31466667,117000,8560000
37,8/5/2009,STRATIPHYT1,-11.5,51.5,30.80666667,171000,23900000
38,8/5/2009,STRATIPHYT1,-11.5,51.5,73.885,101000,7560000
39,8/5/2009,STRATIPHYT1,-11.5,51.5,124.264,44600,4830000
40,8/5/2009,STRATIPHYT1,-11.5,51.5,15.164,124000,25500000
41,8/17/2000,ARCTICSBI,-110.5,68.5,1,333000,17900000
42,8/17/2000,ARCTICSBI,-110.5,68.5,1,219000,1.80E+07
43,8/17/2000,ARCTICSBI,-110.5,68.5,1,189000,13500000
44,8/17/2000,ARCTICSBI,-110.5,68.5,1,168000,1.30E+07
45,8/17/2000,ARCTICSBI,-110.5,68.5,1,175000,16300000
46,8/17/2000,ARCTICSBI,-110.5,68.5,1,320000,19800000
47,9/2/2000,ARCTICSBI,-111.5,67.5,1,217000,11300000
48,9/2/2000,ARCTICSBI,-111.5,67.5,1,147000,9500000
49,9/2/2000,ARCTICSBI,-111.5,67.5,1,237000,5630000
50,9/2/2000,ARCTICSBI,-111.5,67.5,1,196000,8900000
51,9/2/2000,ARCTICSBI,-111.5,67.5,1,180000,15700000
52,9/2/2000,ARCTICSBI,-111.5,67.5,1,90000,7460000
53,9/16/2000,ARCTICSBI,-112.5,68.5,1,152000,1.20E+07
54,9/16/2000,ARCTICSBI,-112.5,68.5,1,243000,7690000
55,9/16/2000,ARCTICSBI,-112.5,68.5,1,210000,18200000
56,9/16/2000,ARCTICSBI,-112.5,68.5,1,111000,2.40E+07
57,9/16/2000,ARCTICSBI,-112.5,68.5,1,231000,14700000
58,9/16/2000,ARCTICSBI,-112.5,68.5,1,182000,24500000
59,8/12/2000,ARCTICSBI,-113.5,68.5,1,152000,6650000
60,8/16/2000,ARCTICSBI,-113.5,68.5,1,141000,16800000
61,8/12/2000,ARCTICSBI,-113.5,68.5,1,204000,15900000
62,8/12/2000,ARCTICSBI,-113.5,68.5,1,235000,16100000
63,8/16/2000,ARCTICSBI,-113.5,68.5,1,132000,1.10E+07
64,8/12/2000,ARCTICSBI,-113.5,68.5,1,231000,12800000
65,8/16/2000,ARCTICSBI,-113.5,68.5,1,270000,24500000
66,8/16/2000,ARCTICSBI,-113.5,68.5,1,304000,9910000
67,8/16/2000,ARCTICSBI,-113.5,68.5,1,157000,24100000
68,8/12/2000,ARCTICSBI,-113.5,68.5,1,181000,16900000
69,8/12/2000,ARCTICSBI,-113.5,68.5,1,464000,26400000
70,8/16/2000,ARCTICSBI,-113.5,68.5,1,95000,8150000
71,8/14/2000,ARCTICSBI,-115.5,67.5,1,107000,13600000
72,8/14/2000,ARCTICSBI,-115.5,67.5,1,128000,8460000
73,8/14/2000,ARCTICSBI,-115.5,67.5,1,102000,4980000
74,8/14/2000,ARCTICSBI,-115.5,67.5,1,543000,8090000
75,8/14/2000,ARCTICSBI,-115.5,67.5,1,109000,9510000
76,7/14/2004,USC MO,-118.5,33.5,23,1935318.35,46099718
77,3/19/2001,USC MO,-118.5,33.5,500,73759.54,1990116.12
78,11/17/2004,USC MO,-118.5,33.5,890,392804.38,982880.78
79,5/17/2010,USC MO,-118.5,33.5,890,142996.1,1293111.58
80,5/14/2008,USC MO,-118.5,33.5,890,402894.13,13481993
81,3/29/2006,USC MO,-118.5,33.5,500,184746.79,2059700.6
82,6/19/2002,USC MO,-118.5,33.5,5,1115671.16,21484208.2
83,10/29/2001,USC MO,-118.5,33.5,500,197793.88,1287312.88
84,12/16/2010,USC MO,-118.5,33.5,5,1937927.76,41968139.5
85,11/20/2008,USC MO,-118.5,33.5,890,532031.33,9167755.24
86,11/23/2010,USC MO,-118.5,33.5,890,260941.8,3230111.56
87,5/11/2005,USC MO,-118.5,33.5,890,296429.88,3117384.7
88,10/20/2005,USC MO,-118.5,33.5,500,187182.25,1878780.96
89,10/20/2008,USC MO,-118.5,33.5,500,886042.37,1672115.05
90,10/9/2000,USC MO,-118.5,33.5,500,205274.21,3247275.73
91,11/19/2001,USC MO,-118.5,33.5,5,609734,11771374.53
92,2/19/2004,USC MO,-118.5,33.5,5,3704729.25,42388545.73
93,2/22/2006,USC MO,-118.5,33.5,5,1020572.37,22354014.2
94,12/13/2005,USC MO,-118.5,33.5,5,1643933.34,37575619.2
95,11/17/2005,USC MO,-118.5,33.5,5,1555213.12,25137393.4
96,6/20/2006,USC MO,-118.5,33.5,5,949828.15,22197449.12
97,11/12/2009,USC MO,-118.5,33.5,5,697584.41,32226312.3
98,11/12/2003,USC MO,-118.5,33.5,5,1200332.28,31139054.8
99,2/11/2010,USC MO,-118.5,33.5,5,739335.1,38271464
100,11/20/2008,USC MO,-118.5,33.5,15.5,5871190.5,35096672.1
101,5/21/2003,USC MO,-118.5,33.5,890,200751.22,2150353.72
102,7/2/2003,USC MO,-118.5,33.5,24,2783379.2,26963986
103,5/17/2010,USC MO,-118.5,33.5,500,153085.85,1455475.37
104,3/12/2003,USC MO,-118.5,33.5,150,254679.19,4470802.84
105,11/23/2010,USC MO,-118.5,33.5,500,281121.29,2029083.43
106,3/29/2006,USC MO,-118.5,33.5,150,320552.5,3757561.92
107,11/12/2003,USC MO,-118.5,33.5,500,258854.26,1690902.86
108,11/19/2001,USC MO,-118.5,33.5,500,226149.56,998537.28
109,11/20/2008,USC MO,-118.5,33.5,500,216059.81,2825129.88
110,11/17/2004,USC MO,-118.5,33.5,500,156913,1152009.72
111,4/20/2005,USC MO,-118.5,33.5,150,455082.49,7306370.4
